Year,TeamName,TeamID,Game,Win,Home,Minutes,ThreePts,FreeThrow,OffensiveRebound,DefensiveRebound,Points
1980,Lakers,LAL,1,1,1,240,0,13,12,31,109
1980,Lakers,LAL,2,0,1,240,0,8,15,37,104
1980,Lakers,LAL,3,1,0,240,0,23,22,34,111
1980,Lakers,LAL,4,0,0,240,0,14,18,31,102
1980,Lakers,LAL,5,1,1,240,0,26,19,37,108
1980,Lakers,LAL,6,1,0,240,0,33,17,35,123
1981,Celtics,BOS,1,1,1,240,0,16,25,29,98
1981,Celtics,BOS,2,0,1,240,0,8,14,34,90
1981,Celtics,BOS,3,1,0,240,2,12,16,28,94
1981,Celtics,BOS,4,0,0,240,0,16,17,30,86
1981,Celtics,BOS,5,1,1,240,0,27,19,35,109
1981,Celtics,BOS,6,1,0,240,1,15,9,28,102
1982,Lakers,LAL,1,1,0,240,0,26,19,31,124
1982,Lakers,LAL,2,0,0,240,0,24,17,22,94
1982,Lakers,LAL,3,1,1,240,1,28,17,31,129
1982,Lakers,LAL,4,1,1,240,0,21,16,33,111
1982,Lakers,LAL,5,0,0,240,0,8,26,23,102
1982,Lakers,LAL,6,1,1,240,0,20,15,34,114
1983,Sixers,PHI,1,1,1,240,0,23,21,32,113
1983,Sixers,PHI,2,1,1,240,0,23,16,28,103
1983,Sixers,PHI,3,1,0,240,0,21,22,32,111
1983,Sixers,PHI,4,1,0,240,0,31,13,28,115
1984,Celtics,BOS,1,1,1,240,1,28,12,30,115
1984,Celtics,BOS,2,0,1,265,0,34,20,30,124
1984,Celtics,BOS,3,0,0,240,2,22,17,27,104
1984,Celtics,BOS,4,1,0,265,2,31,27,25,129
1984,Celtics,BOS,5,1,1,240,3,28,13,38,121
1984,Celtics,BOS,6,0,0,240,1,29,13,28,108
1984,Celtics,BOS,7,1,1,240,0,43,20,32,111
1985,Lakers,LAL,1,0,0,240,2,14,8,27,114
1985,Lakers,LAL,2,1,0,240,1,20,14,35,109
1985,Lakers,LAL,3,1,1,240,4,28,13,36,136
1985,Lakers,LAL,4,0,1,240,1,24,9,31,105
1985,Lakers,LAL,5,1,1,240,0,20,10,29,120
1985,Lakers,LAL,6,1,0,240,0,25,12,32,111
1986,Celtics,BOS,1,1,1,240,1,17,10,32,112
1986,Celtics,BOS,2,1,1,240,4,23,14,29,117
1986,Celtics,BOS,3,0,0,240,1,19,22,31,104
1986,Celtics,BOS,4,1,0,240,2,14,11,29,106
1986,Celtics,BOS,5,0,0,240,1,27,10,27,96
1986,Celtics,BOS,6,1,1,240,1,12,23,33,111
1987,Lakers,LAL,1,1,1,240,1,15,17,30,126
1987,Lakers,LAL,2,1,1,240,6,23,7,26,141
1987,Lakers,LAL,3,0,0,240,3,20,8,24,103
1987,Lakers,LAL,4,1,0,240,2,23,15,31,107
1987,Lakers,LAL,5,0,0,240,4,18,17,23,108
1987,Lakers,LAL,6,1,1,240,0,16,13,31,106
1988,Lakers,LAL,1,0,1,240,2,25,13,22,93
1988,Lakers,LAL,2,1,1,240,3,35,8,35,108
1988,Lakers,LAL,3,1,0,240,1,24,5,33,99
1988,Lakers,LAL,4,0,0,240,0,28,8,26,86
1988,Lakers,LAL,5,0,0,240,1,19,15,16,94
1988,Lakers,LAL,6,1,1,240,0,35,13,28,103
1988,Lakers,LAL,7,1,1,240,3,19,10,31,108
1989,Pistons,DET,1,1,1,240,1,16,9,36,109
1989,Pistons,DET,2,1,1,240,1,19,13,22,108
1989,Pistons,DET,3,1,0,240,1,27,14,30,114
1989,Pistons,DET,4,1,0,240,2,35,9,27,105
1990,Pistons,DET,1,1,1,240,3,34,19,35,105
1990,Pistons,DET,2,0,1,265,8,15,15,29,105
1990,Pistons,DET,3,1,0,240,3,32,10,26,121
1990,Pistons,DET,4,1,0,240,7,21,12,27,112
1990,Pistons,DET,5,1,0,240,4,14,16,28,92
1991,Bulls,CHI,1,0,1,240,1,14,9,30,91
1991,Bulls,CHI,2,1,1,240,0,7,11,25,107
1991,Bulls,CHI,3,1,0,265,1,21,16,30,104
1991,Bulls,CHI,4,1,0,240,1,12,9,29,97
1991,Bulls,CHI,5,1,0,240,2,22,10,27,108
1992,Bulls,CHI,1,1,1,240,7,15,16,28,122
1992,Bulls,CHI,2,0,1,265,5,17,10,31,104
1992,Bulls,CHI,3,1,0,240,1,19,9,33,94
1992,Bulls,CHI,4,0,0,240,4,14,7,26,88
1992,Bulls,CHI,5,1,0,240,2,37,10,24,119
1992,Bulls,CHI,6,1,1,240,6,15,9,22,97
1993,Bulls,CHI,1,1,0,240,3,11,10,31,100
1993,Bulls,CHI,2,1,0,240,3,18,17,26,111
1993,Bulls,CHI,3,0,1,315,5,6,27,32,121
1993,Bulls,CHI,4,1,1,240,3,20,12,30,111
1993,Bulls,CHI,5,0,1,240,8,16,8,27,98
1993,Bulls,CHI,6,1,0,240,10,11,12,27,99
1994,Rockets,HOU,1,1,1,240,4,19,12,37,85
